Name,Feature,Full Address,Street,Municipality,Categories,Plus Code,Phones,Emails,Review Count,Average Rating,Review URL,Google Maps URL,Cid,Google Knowledge URL,Kgmid,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Place Id
Flaming Star Restaurant,,"4801 Steeles Ave W, North York, ON M9L 2W1",4801 Steeles Ave W,North York,Restaurant,87M2QFC5+9C,,,60,4.7,"https://search.google.com/local/reviews?placeid=ChIJk4rvGuEvK4gReOG7U-IuTJY&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=10830082753521508728,10830082753521508728,https://www.google.com/search?kgmid=/g/1tl4dntr&kponly,/g/1tl4dntr,43.7708868,-79.5413937,,,"Saturday:[8a.m.-2p.m.], Sunday:[Closed], Monday:[7a.m.-3p.m.], Tuesday:[7a.m.-3p.m.], Wednesday:[7a.m.-3p.m.], Thursday:[7a.m.-3p.m.], Friday:[7a.m.-3p.m.]",https://lh5.googleusercontent.com/p/AF1QipOG1hFtn-8_LnZqm1M2_z67zY3CPynK_y8oLoRi=w122-h92-k-no,ChIJk4rvGuEvK4gReOG7U-IuTJY
Peperoncino (The Hot Pepper) Catering Service,,"200 Whitmore Rd, Woodbridge, ON L4L 7K4",200 Whitmore Rd,Woodbridge,Italian restaurant,87M2QCPV+H9,"(905) 851-5666, +1 905-851-5666",,94,4.2,"https://search.google.com/local/reviews?placeid=ChIJQzi56fQvK4gRFD5gYYmUvGw&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=7835300769482948116,7835300769482948116,https://www.google.com/search?kgmid=/g/1hc6_fgwb&kponly,/g/1hc6_fgwb,43.7864218,-79.5565252,,,"Saturday:[4-11p.m.], Sunday:[4-11p.m.], Monday:[4-11p.m.], Tuesday:[4-11p.m.], Wednesday:[4-11p.m.], Thursday:[4-11p.m.], Friday:[4-11p.m.]",https://lh5.googleusercontent.com/p/AF1QipPkcurG8kDu6pB4jyjw-zJsohF6acSZJnZCZS_4=w163-h92-k-no,ChIJQzi56fQvK4gRFD5gYYmUvGw
That's Italian Ristorante,Mod spot with Italian fare & patio seats,"2 Tall Grass Trail Suite 4, Woodbridge, ON L4L 3Y9",2 Tall Grass Trail Suite 4,Woodbridge,"Pizza restaurant, Cafe, Italian restaurant, Restaurant, Southern Italian restaurant",87M2QCJG+VC,"(416) 482-5426, +1 416-482-5426",comments@thatsitalian.ca,598,4.3,"https://search.google.com/local/reviews?placeid=ChIJ3-lzZ3MlK4gRXBQDLRnC_jA&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=3530472571290195036,3530472571290195036,https://www.google.com/search?kgmid=/g/1vnrr75s&kponly,/g/1vnrr75s,43.782247,-79.573993,https://www.thatsitalian.ca/,thatsitalian.ca,"Saturday:[11a.m.-3p.m.], Sunday:[4-10p.m.], Monday:[11a.m.-3p.m.], Tuesday:[11a.m.-3p.m.], Wednesday:[11a.m.-3p.m.], Thursday:[11a.m.-3p.m.], Friday:[11a.m.-3p.m.]",https://lh5.googleusercontent.com/p/AF1QipPgabbWRIW7EqVWp9IagsCMT9RIYA-_vfmlo1KL=w137-h92-k-no,ChIJ3-lzZ3MlK4gRXBQDLRnC_jA
Siamese Thai Cuisine,Thai fare in a comfy setting,"200 Whitmore Rd #11, Woodbridge, ON L4L 7K4",200 Whitmore Rd #11,Woodbridge,"Thai restaurant, Vegetarian restaurant",87M2QCPV+G6,"(905) 856-7288, +1 905-856-7288",siamthaicuisine@shaw.ca,334,4.2,"https://search.google.com/local/reviews?placeid=ChIJRXYclfQvK4gRfad7RtTBAcw&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=14700243776173746045,14700243776173746045,https://www.google.com/search?kgmid=/g/1tfkltbm&kponly,/g/1tfkltbm,43.7862722,-79.55695,http://www.thairestaurant.ca/,thairestaurant.ca,"Saturday:[4:30-10p.m.], Sunday:[4:30-9p.m.], Monday:[11:30a.m.-9p.m.], Tuesday:[11:30a.m.-9p.m.], Wednesday:[11:30a.m.-9p.m.], Thursday:[11:30a.m.-9p.m.], Friday:[11:30a.m.-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipMEuH-3S4nSXnw--juRnq9VZztl33REJunMc4Pz=w80-h142-k-no,ChIJRXYclfQvK4gRfad7RtTBAcw
Romano's Restaurant,Charming space for stone-baked pizzas,"830 Rowntree Dairy Rd, Woodbridge, ON L4L 5V3",830 Rowntree Dairy Rd,Woodbridge,"Italian restaurant, Banquet hall, Caterer, Event venue, Pizza restaurant, Seafood restaurant",87M2QCJH+2W,"(905) 850-9604, +1 905-850-9604",lori@romanos.ca,729,4.4,"https://search.google.com/local/reviews?placeid=ChIJ6RYZnlolK4gRTj8nP98wLg8&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=1093865494892986190,1093865494892986190,https://www.google.com/search?kgmid=/g/1x5qtdm8&kponly,/g/1x5qtdm8,43.780008699999996,-79.5701488,http://www.romanoscuisine.com/,romanoscuisine.com,"Saturday:[11:30a.m.-10:30p.m.], Sunday:[12p.m.-12a.m.], Monday:[Closed], Tuesday:[11:30a.m.-9p.m.], Wednesday:[11:30a.m.-9:30p.m.], Thursday:[11:30a.m.-10p.m.], Friday:[11:30a.m.-10:30p.m.]",https://lh5.googleusercontent.com/p/AF1QipMracp3FXvp7-C5xWbdPZ9eLf5tHNVD2UiSxdcd=w122-h92-k-no,ChIJ6RYZnlolK4gRTj8nP98wLg8
La Luce Ristorante 👨‍🍳,Elegant Italian haunt with live jazz,"4377 Steeles Ave W, North York, ON M3N 1V7",4377 Steeles Ave W,North York,"Italian restaurant, Caterer, Event planner, Event venue, Delivery Restaurant, Takeout Restaurant, Party planner",87M2QFF9+6F,"(416) 661-8989, +1 416-661-8989",info@laluceristorante.com,282,4.6,"https://search.google.com/local/reviews?placeid=ChIJkQ8NgdovK4gRhLUvnFnlB2I&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=7063866713589134724,7063866713589134724,https://www.google.com/search?kgmid=/g/1tj5lsrr&kponly,/g/1tj5lsrr,43.773002999999996,-79.531266,https://www.laluceristorante.com/,laluceristorante.com,"Saturday:[5-9p.m.], Sunday:[Closed], Monday:[11a.m.-3:30p.m.], Tuesday:[11a.m.-3:30p.m.], Wednesday:[11a.m.-3:30p.m.], Thursday:[11a.m.-3:30p.m.], Friday:[11a.m.-3:30p.m.]",https://lh5.googleusercontent.com/p/AF1QipOsgOCKk2VWTa11S8LKBJyRYI07CJAzVUSNwQTh=w122-h92-k-no,ChIJkQ8NgdovK4gRhLUvnFnlB2I
Lago Cafe,,"10 Strada Dr, Woodbridge, ON M5J 2N1",10 Strada Dr,Woodbridge,Italian restaurant,87M2QCJH+6C,"(905) 856-0440, +1 905-856-0440","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 831126cb46b74583bf6f72c5061cba9d@sentry-viewer.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",195,4.4,"https://search.google.com/local/reviews?placeid=ChIJiTAAgdUkK4gRuSqGw1IKGTk&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=4114331085163604665,4114331085163604665,https://www.google.com/search?kgmid=/g/1v27w3mn&kponly,/g/1v27w3mn,43.7805544,-79.5714912,http://www.lagocafe.ca/,lagocafe.ca,"Saturday:[9a.m.-1:30a.m.], Sunday:[9a.m.-11:30p.m.], Monday:[9a.m.-11:30p.m.], Tuesday:[9a.m.-11:30p.m.], Wednesday:[9a.m.-11:30p.m.], Thursday:[9a.m.-11:30p.m.], Friday:[9a.m.-1:30a.m.]",https://lh5.googleusercontent.com/p/AF1QipPaI4hZ9Et1m8JfKS8Jc0fbLxSWUI3Q7pMR9D2K=w122-h92-k-no,ChIJiTAAgdUkK4gRuSqGw1IKGTk
La Empanada Cafe,,"4000 Steeles Ave W #16, Woodbridge, ON L4L 4V9",4000 Steeles Ave W #16,Woodbridge,Argentinian restaurant,87M2QC9X+XM,"(905) 605-1810, +1 905-605-1810",laempanadacafe@gmail.com,176,4.5,"https://search.google.com/local/reviews?placeid=ChIJIaxgcv0vK4gRB0Hc9MOyGwU&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=368084349257269511,368084349257269511,https://www.google.com/search?kgmid=/g/11c4__wz05&kponly,/g/11c4__wz05,43.769988399999995,-79.5507855,http://www.laempanadacafe.ca/,laempanadacafe.ca,"Saturday:[10a.m.-10p.m.], Sunday:[Closed], Monday:[10a.m.-4p.m.], Tuesday:[9a.m.-5p.m.], Wednesday:[9a.m.-5p.m.], Thursday:[10a.m.-8p.m.], Friday:[10a.m.-10p.m.]",https://lh5.googleusercontent.com/p/AF1QipP0Bz7tbDgS6BJpfijN79PaCwNBhxeCaQ-j9eD_=w154-h92-k-no,ChIJIaxgcv0vK4gRB0Hc9MOyGwU
Tremonti Ristorante,Italian cuisine in an elegant space,"3850 Steeles Ave W, Woodbridge, ON L4L 6Y6",3850 Steeles Ave W,Woodbridge,"Northern Italian restaurant, Fine dining restaurant",87M2QFC3+8J,"(905) 856-6600, +1 905-856-6600",info@tremontirestaurant.com,134,4.5,"https://search.google.com/local/reviews?placeid=ChIJleLaU-IvK4gRc0hTnC68gvw&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=18195312352907446387,18195312352907446387,https://www.google.com/search?kgmid=/g/1tmxx6ll&kponly,/g/1tmxx6ll,43.7708113,-79.5459722,http://www.tremontirestaurant.com/,tremontirestaurant.com,"Saturday:[5-9p.m.], Sunday:[Closed], Monday:[12-2:30p.m.], Tuesday:[12-2:30p.m.], Wednesday:[12-2:30p.m.], Thursday:[12-2:30p.m.], Friday:[12-2:30p.m.]",https://lh5.googleusercontent.com/p/AF1QipODG5xrK9p6VKpw69LLWTKlxiLdY1ETN-YvJi3p=w80-h106-k-no,ChIJleLaU-IvK4gRc0hTnC68gvw
Rumi's Restaurant,,"2 Tall Grass Trail unit 9, Woodbridge, ON L4L 3Y9",2 Tall Grass Trail unit 9,Woodbridge,"Persian restaurant, Halal restaurant, Middle Eastern restaurant",87M2QCJG+WH,"(905) 856-5190, +1 905-856-5190","info@rumis.ca, catering@Rumis.ca",165,4.8,"https://search.google.com/local/reviews?placeid=ChIJL_QAPkUlK4gRsGHRiMpfPWw&q=restaurants+in+Greater+Toronto+Area,+ON&authuser=0&hl=en&gl=CA",https://www.google.com/maps?cid=7799495453159023024,7799495453159023024,https://www.google.com/search?kgmid=/g/1txy2znc&kponly,/g/1txy2znc,43.7823263,-79.5735262,http://www.rumis.ca/,rumis.ca,"Saturday:[11:30a.m.-9p.m.], Sunday:[11:30a.m.-9p.m.], Monday:[11:30a.m.-9p.m.], Tuesday:[Closed], Wednesday:[11:30a.m.-9p.m.], Thursday:[11:30a.m.-9p.m.], Friday:[11:30a.m.-9p.m.]",https://lh5.googleusercontent.com/p/AF1QipPWrUxUSBYB8WKnZenCVmDCdHr85GURYc86O90i=w122-h92-k-no,ChIJL_QAPkUlK4gRsGHRiMpfPWw
