DATE,GROSS AMOUNT,DISCOUNTS,TAXES,TOTAL ON HAND
2017-11-19,81000,1378,10351,89973
2017-11-27,76549,2167,9669,84052
2017-12-04,93764,2113,11914,103566
2017-12-11,96755,1170,12426,108012
2017-12-18,91223,1976,11602,96849
2017-12-25,98314,3184,12367,107497
2018-01-01,67288,1195,8592,74685
2018-01-08,62710,1843,7913,68775
2018-01-15,69731,1651,8850,76930
2018-01-22,68523,2781,8546,74288
2018-01-29,60991,972,7802,67821
2018-02-05,59331,1771,7483,65043
2018-02-12,75487,1297,9645,83834
2018-02-19,72001,2655,9015,78361
2018-02-26,77991,2115,9864,85740
2018-03-05,76690,1761,9741,84663
2018-03-12,81005,1338,10357,90024
2018-03-19,85724,3209,10727,93242
2018-03-26,90941,1693,11602,100850
2018-04-02,91727,1394,117432,102076
2018-04-09,88389,1109,11346,98626
2018-04-16,87221,2208,11051,96065
2018-04-23,99971,1077,12856,117504
2018-05-01,117609,3881,14785,128513
2018-05-07,128098,4885,16018,139231
2018-05-14,109753,1934,14016,121835
2018-05-21,102577,1590,13128,114116
2018-05-28,100995,2398,12818,111415
2018-06-04,101985,1776,13027,113136
2018-06-11,115077,2866,14587,126798
2018-06-18,119881,2990,15195,132087
2018-06-25,107744,1299,13838,120283
2018-07-02,105116,2404,13353,121067
2018-07-09,105971,2008,13515,117478
2018-07-16,119003,2756,15112,131359
2018-07-23,99813,3773,12485,108525
2018-07-30,97561,2153,12403,107811
2018-08-06,98609,1674,12602,109057
2018-08-13,91067,2483,11516,100100
2018-08-20,98104,1265,12589,109428
2018-08-27,98671,3263,12403,107811
2018-09-03,90037,1484,11512,100064
2018-09-10,96177,2116,12228,106289
2018-09-17,97409,2087,12392,107714
2018-09-24,101339,2619,12884,111554
2018-10-01,103993,4486,12936,112434
2018-10-08,101089,3176,12729,110642
2018-10-15,102004,3712,12778,111070
2018-10-22,105033,2827,13287,115493
2018-10-29,104497,2109,13310,115698
2018-11-05,113044,1105,14552,126491
2018-11-12,107732,4171,13463,117024
2018-11-19,106610,1112,13715,119213
2018-11-26,99921,2003,12729,119647
2018-12-03,100922,2616,12780,111086
2018-12-10,95903,1947,12215,106170
2018-12-17,101119,1625,12934,112428
2018-12-24,107926,2095,13758,119589
2018-12-31,102856,2414,13057,113499
2019-01-07,99413,1671,12706,110448
2019-01-14,105077,1788,13428,116717
2019-01-21,106639,1639,13650,118650
2019-01-28,110468,2748,14004,121724
2019-02-04,109937,2509,13966,121386
2019-02-11,108214,2180,13784,119818
2019-02-18,100789,2361,12796,111224
2019-02-25,101229,3204,12743,110768
2019-03-04,104499,2215,13297,115581
2019-03-11,102288,2124,13021,113185
2019-03-18,102001,3132,12853,111717
2019-03-25,100081,2441,12693,110333
2019-04-01,99334,1757,12685,110262
2019-04-08,108991,2993,13778,119778
2019-04-15,105668,1185,13583,118066
2019-04-22,104614,1150,13450,116914
2019-04-29,101033,3526,12659,110183
2019-05-06,98392,2744,12434,108082
2019-05-13,103449,2858,13977,113668
2019-05-20,106773,3319,13449,116903
2019-05-27,105578,1949,13472,117101
2019-06-03,107980,3336,13604,118248
2019-06-10,107221,2878,13565,117908
2019-06-17,101334,3103,12770,111001
2019-06-24,102921,2124,13104,113901
2019-07-01,100555,2537,12742,111560
2019-07-08,103834,2133,12221,114922
2019-07-15,102027,2648,12919,112298
2019-07-22,108661,3166,13714,118909
2019-07-29,105775,3008,13360,116127
2019-08-05,101558,2908,12825,111475
2019-08-12,110109,1177,14161,123093
2019-08-19,112013,3368,14124,122769
2019-08-26,113147,2587,14372,124933
2019-09-02,115003,3803,14456,125656
2019-09-09,114778,2793,14558,126543
2019-09-16,116239,2517,14784,128506
2019-09-23,110087,3448,13863,120520
2019-09-30,119017,2005,15212,132224
2019-10-07,121005,2117,15455,134343
2019-10-14,119093,2436,15165,131822
2019-10-21,118445,4098,14865,129212
2019-10-28,119674,3321,15126,131479
2019-11-04,125978,4527,15789,137240
2019-11-11,126365,2507,16102,139960
2019-11-18,125809,3309,15925,138425
2019-11-25,110276,3805,13841,120312
2019-12-02,118293,2849,15008,130452
2019-12-09,132145,2681,16830,146294
2019-12-16,137077,3019,17428,151486
2019-12-23,131773,3200,16715,145288
2019-12-30,87834,2447,11100,96487
2020-01-06,76726,3628,9503,73098
